[     485ms] [WARNING] The PerformanceObserver does not support buffered flag with the entryTypes argument. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:1211
[    1000ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1125ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/PAN_CORE_ACCESSIBILITY_KEYBOARD_SHORTCUTS?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1238ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1240ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1242ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1243ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1245ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1246ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1247ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_US.XZB87acDy9s.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbMDkp8Q-X6hjqtjEBSwezRNTaRaBA/m=core:4104
[    1348ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/PIPELINES_AND_CONNECTIONS_OPT_IN?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1406ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/CONSOLE_NAV_UNLOCKED?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1472ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/SIDENAV_COMPACT_MODE?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
